platform,video_id,video_title,upload_date,views,likes,author,text,like_count,date
YouTube,MDN_XVcdCLo,The Ultimate AI Showdown: ChatGPT vs Claude vs Gemini,20251028,64397,1284,@The-C4-Institute,"LLMs are resonators, remixing data. And so their capabilities to do that and how you want, depends how they are programmed. It may be more than just good prompting or a prompt. For example, a more capable AI model hallucinates because it's struggling to #1 act as a scientist would vs pleasing the person prompting it. So you can't really compare them without mentioning #1 how you prompted each one, and the code for how they operate (using a Gemini Gem for example or a coded agent)",0,1775210400
YouTube,MDN_XVcdCLo,The Ultimate AI Showdown: ChatGPT vs Claude vs Gemini,20251028,64397,1284,@JayBiengJerk,"Always appreciate the academic and practical perspective! When comparing these titans, one thing I've noticed is that they all still require us to be the 'middleman.' I’ve been experimenting with Barie AI to solve that—it connects to these models but focuses on the automation and execution of the tasks they help you plan. If you’re trying to build a fully automated research or content pipeline, Barie is a fantastic addition to the toolkit.",0,1775088000
YouTube,MDN_XVcdCLo,The Ultimate AI Showdown: ChatGPT vs Claude vs Gemini,20251028,64397,1284,@oliverrehren3077,"It’s actually wild that a Google model that doesn't even exist can generate so many correct answers! Just imagine what’ll happen once that model actually drops!

But okay, staying a bit more serious here—as many have already pointed out in the comments—a 'Gemini Flash 2.5 (PRO)' model simply doesn't exist (1st Order Hallucination? ;=) ).

Furthermore, this video tests an Advanced Reasoning model (ChatGPT 5 / ChatGPT 5 Thinking) against two non-reasoning models on an advanced reasoning task. Spot the mistake.

Gemini Flash 2.5 and Sonnet 4.1 are both not advanced reasoning models. Gemini 2.5 Flash is optimized for maximum speed with minimal latency. Sonnet 4.1, to my knowledge, is a high-performance model, but still a 'classic' LLM (feel free to correct me here, as I don’t personally work with Claude models).

This makes the whole thing an apples-to-oranges comparison. To be honest, ChatGPT 5 Thinking doesn't even look that great compared to Sonnet 4.1 when you consider that a non-reasoning model is frequently delivering results comparable to the Advanced Reasoning model.

For me, the issue isn’t that the comparison was made, but rather the fact that these fundamental differences aren't mentioned anywhere in the video or description. Not your best work this time, Circles!

That being said, the point about LLMs being 'plausibility models' and the implications of that was a very strong takeaway!

Keep up the good work!",0,1774569600
YouTube,MDN_XVcdCLo,The Ultimate AI Showdown: ChatGPT vs Claude vs Gemini,20251028,64397,1284,@Nate-yn1vx,Jesus this guy is insufferable,0,1773446400
YouTube,MDN_XVcdCLo,The Ultimate AI Showdown: ChatGPT vs Claude vs Gemini,20251028,64397,1284,@admon1234,Your voice in spanish is so fun lol,0,1772841600
YouTube,MDN_XVcdCLo,The Ultimate AI Showdown: ChatGPT vs Claude vs Gemini,20251028,64397,1284,@malekbarbari430,Isnt this channel was about beard stuff 😅,0,1772582400
YouTube,MDN_XVcdCLo,The Ultimate AI Showdown: ChatGPT vs Claude vs Gemini,20251028,64397,1284,@galacticwolf2482,I am citing your video for my research project 😊😊,0,1772582400
YouTube,MDN_XVcdCLo,The Ultimate AI Showdown: ChatGPT vs Claude vs Gemini,20251028,64397,1284,@francescomodica3356,fake,0,1772582400
YouTube,MDN_XVcdCLo,The Ultimate AI Showdown: ChatGPT vs Claude vs Gemini,20251028,64397,1284,@milans.4505,Which one is better for investors,0,1772582400
YouTube,MDN_XVcdCLo,The Ultimate AI Showdown: ChatGPT vs Claude vs Gemini,20251028,64397,1284,@MJFUYT,Gemini is consistently on the highest level,0,1772582400
YouTube,MDN_XVcdCLo,The Ultimate AI Showdown: ChatGPT vs Claude vs Gemini,20251028,64397,1284,@dylancedricvallejos-cb8bk,"Gemini a.i got a double checker scanner, why is it still on low rate based on his statistics???",0,1772582400
YouTube,MDN_XVcdCLo,The Ultimate AI Showdown: ChatGPT vs Claude vs Gemini,20251028,64397,1284,@dylancedricvallejos-cb8bk,They said chatgpt is not research,0,1772582400
